"rep","status","abundance","scenario","occ_shift","count_log_mult","bias_all","rmse_all","coverage_all","frac_sign_correct","sigma_region_mean","sigma_region_lb","sigma_region_ub","waic_primary","waic_national","waic_diff","elapsed_sec","est_EASTERN.TEMPERATE.FORESTS","est_GREAT.PLAINS","est_MARINE.WEST.COAST.FOREST","est_MEDITERRANEAN.CALIFORNIA","est_NORTH.AMERICAN.DESERTS","est_NORTHERN.FORESTS","est_NORTHWESTERN.FORESTED.MOUNTAINS","est_WATER","err_EASTERN.TEMPERATE.FORESTS","err_GREAT.PLAINS","err_MARINE.WEST.COAST.FOREST","err_MEDITERRANEAN.CALIFORNIA","err_NORTH.AMERICAN.DESERTS","err_NORTHERN.FORESTS","err_NORTHWESTERN.FORESTED.MOUNTAINS","err_WATER","cov_EASTERN.TEMPERATE.FORESTS","cov_GREAT.PLAINS","cov_MARINE.WEST.COAST.FOREST","cov_MEDITERRANEAN.CALIFORNIA","cov_NORTH.AMERICAN.DESERTS","cov_NORTHERN.FORESTS","cov_NORTHWESTERN.FORESTED.MOUNTAINS","cov_WATER","info_cam_detections_total","info_cam_det_per_site","info_inat_count_total","info_inat_count_per_cell","info_n_site","info_n_cell50"
20,"ok","bobcat_baseline","null",0,0,-0.0402618979384461,0.143336315112067,1,NA,0.367205288587068,0.0560844965006815,0.935856748939943,2845.68728568409,2874.37129874765,28.6840130635628,2131.41677761078,-0.154533273303003,0.0989341463970554,-0.306891967329864,0.134759933213083,0.0161937411456068,0.0508857069249736,-0.11584571023049,-0.0455977603249305,-0.154533273303003,0.0989341463970554,-0.306891967329864,0.134759933213083,0.0161937411456068,0.0508857069249736,-0.11584571023049,-0.0455977603249305,1,1,1,1,1,1,1,1,209,0.299426934097421,852,3.94444444444444,698,216
21,"ok","bobcat_baseline","null",0,0,0.00592326174033167,0.0246137299881033,1,NA,0.0892477789989895,0.0034132542594003,0.401649916696355,3143.70241529788,3141.71909625437,-1.98331904351153,2543.77447628975,0.0158341748169413,0.0157211092314123,0.0461147176718051,0.00485003862055476,-0.00283866333387745,-0.0444065752242122,0.0145814179391807,-0.00247012579915123,0.0158341748169413,0.0157211092314123,0.0461147176718051,0.00485003862055476,-0.00283866333387745,-0.0444065752242122,0.0145814179391807,-0.00247012579915123,1,1,1,1,1,1,1,1,237,0.339541547277937,1070,4.9537037037037,698,216
22,"ok","bobcat_baseline","null",0,0,-0.0208381931252343,0.105325909386639,1,NA,0.271351587360388,0.066128907612964,0.694099827945816,2934.17434638331,2930.25266582577,-3.92168055753655,2254.67528939247,0.0976813044152268,-0.0938435047306525,0.115811978749144,0.0862557993158882,-0.00963783079121615,-0.118457339858609,-0.174834610549168,-0.0696813415524878,0.0976813044152268,-0.0938435047306525,0.115811978749144,0.0862557993158882,-0.00963783079121615,-0.118457339858609,-0.174834610549168,-0.0696813415524878,1,1,1,1,1,1,1,1,215,0.308022922636103,947,4.38425925925926,698,216
23,"ok","bobcat_baseline","null",0,0,-0.0235897768906056,0.0836948530763236,1,NA,0.227566264598927,0.0114973394126171,0.867794085142409,3022.85147017224,3030.05226222756,7.20079205532056,2524.51234674454,0.00706276728807792,0.0758471023778455,-0.0392473102712873,-0.0936440232716178,0.0233675556631888,0.0634778954963592,-0.183173117646204,-0.0424090847612072,0.00706276728807792,0.0758471023778455,-0.0392473102712873,-0.0936440232716178,0.0233675556631888,0.0634778954963592,-0.183173117646204,-0.0424090847612072,1,1,1,1,1,1,1,1,218,0.312320916905444,1230,5.69444444444444,698,216
24,"ok","bobcat_baseline","null",0,0,0.0178681317312986,0.0870040244171948,1,NA,0.194443181202937,0.011696459869417,0.618791294800722,3004.00332275314,3007.92527484541,3.92195209227521,2506.80826640129,0.0224337614455944,0.0805478308077898,0.0686904591140171,0.0128269789962711,-0.134738680622352,0.11580045993847,-0.103132357414229,0.0805166015848273,0.0224337614455944,0.0805478308077898,0.0686904591140171,0.0128269789962711,-0.134738680622352,0.11580045993847,-0.103132357414229,0.0805166015848273,1,1,1,1,1,1,1,1,226,0.32378223495702,1031,4.77314814814815,698,216
25,"ok","bobcat_baseline","null",0,0,0.0103669939605308,0.0727363870734963,1,NA,0.194343645509055,0.00922211574844448,0.564564205063101,3010.99092499215,3003.27210728403,-7.71881770811842,2480.32142615318,-0.130522053295418,0.0131705352118506,-0.00668350102052531,0.0758479843309747,-0.0222560203954693,-0.0337431844704762,0.0841719917642819,0.102950199559028,-0.130522053295418,0.0131705352118506,-0.00668350102052531,0.0758479843309747,-0.0222560203954693,-0.0337431844704762,0.0841719917642819,0.102950199559028,1,1,1,1,1,1,1,1,225,0.322349570200573,1040,4.81481481481481,698,216
26,"ok","bobcat_baseline","null",0,0,-0.00232097009189295,0.0563615297590541,1,NA,0.152214247826509,0.0127714089249744,0.524236984274533,3071.11284816894,3077.01565178884,5.90280361990017,2427.83552098274,-0.0458873426333029,0.0223888919407786,0.116629258344409,-0.00108463751028624,-0.0838551262348738,0.0214670322095108,-0.04065262700398,-0.00757320984739922,-0.0458873426333029,0.0223888919407786,0.116629258344409,-0.00108463751028624,-0.0838551262348738,0.0214670322095108,-0.04065262700398,-0.00757320984739922,1,1,1,1,1,1,1,1,243,0.348137535816619,1180,5.46296296296296,698,216
27,"ok","bobcat_baseline","null",0,0,0.00215624691035473,0.0571666694702539,1,NA,0.182127732984159,0.0147871344220864,0.560054787409796,2968.1610935282,2961.32478928314,-6.83630424505827,2591.12998604774,0.00475652251267882,0.0964190464476887,0.0851472519040179,0.0156068857223348,-0.0563925842471437,-0.043434529970346,-0.0606564087691625,-0.0241962083172303,0.00475652251267882,0.0964190464476887,0.0851472519040179,0.0156068857223348,-0.0563925842471437,-0.043434529970346,-0.0606564087691625,-0.0241962083172303,1,1,1,1,1,1,1,1,203,0.290830945558739,1007,4.66203703703704,698,216
28,"ok","bobcat_baseline","null",0,0,-0.0151374026526269,0.22151510127932,1,NA,0.388165019461238,0.125001463334075,0.819918266694624,3079.76656538913,3064.40117547244,-15.3653899166834,2433.83882284164,0.0240631798424465,-0.0769556132644662,0.274482187847992,-0.0028560476988328,-0.0122731510575031,-0.0162140145476903,-0.517487801329485,0.206142038986524,0.0240631798424465,-0.0769556132644662,0.274482187847992,-0.0028560476988328,-0.0122731510575031,-0.0162140145476903,-0.517487801329485,0.206142038986524,1,1,1,1,1,1,1,1,232,0.332378223495702,1068,4.94444444444444,698,216
29,"ok","bobcat_baseline","null",0,0,-0.00258628175420107,0.0562359961953003,1,NA,0.176664975047459,0.00788834213125581,0.535537584227624,3005.84465096591,3002.68282553148,-3.16182543442801,2158.09234189987,-0.0109055234860051,0.0171441398413261,0.0720591209216916,-0.00659849976852722,-0.0199460903605693,-0.0791618558762896,-0.0771515616837294,0.0838700163784944,-0.0109055234860051,0.0171441398413261,0.0720591209216916,-0.00659849976852722,-0.0199460903605693,-0.0791618558762896,-0.0771515616837294,0.0838700163784944,1,1,1,1,1,1,1,1,205,0.293696275071633,955,4.4212962962963,698,216
