cell50,year,species,species_count,total_mammal_count_same_cell
2072,2025,striped_skunk,2,93
2073,2010,striped_skunk,0,5
2073,2011,striped_skunk,0,2
2073,2014,striped_skunk,0,2
2073,2016,striped_skunk,0,4
2073,2017,striped_skunk,0,2
2073,2018,striped_skunk,0,9
2073,2019,striped_skunk,0,26
2073,2020,striped_skunk,0,34
2073,2021,striped_skunk,0,24
2073,2022,striped_skunk,0,43
2073,2023,striped_skunk,0,28
2073,2024,striped_skunk,0,42
2073,2025,striped_skunk,1,46
2074,2012,striped_skunk,0,1
2074,2013,striped_skunk,0,5
2074,2014,striped_skunk,0,2
2074,2016,striped_skunk,0,6
2074,2017,striped_skunk,0,5
2074,2018,striped_skunk,0,2
2074,2019,striped_skunk,0,6
2074,2020,striped_skunk,0,22
2074,2021,striped_skunk,0,12
2074,2022,striped_skunk,0,6
2074,2023,striped_skunk,0,16
2074,2024,striped_skunk,1,20
2074,2025,striped_skunk,0,45
2075,2011,striped_skunk,0,2
2075,2015,striped_skunk,0,1
2075,2016,striped_skunk,0,1
2075,2017,striped_skunk,0,2
2075,2018,striped_skunk,0,11
2075,2019,striped_skunk,0,4
2075,2020,striped_skunk,0,6
2075,2021,striped_skunk,1,12
2075,2022,striped_skunk,0,11
2075,2023,striped_skunk,0,14
2075,2024,striped_skunk,0,37
2075,2025,striped_skunk,0,48
2080,2009,striped_skunk,0,1
2080,2016,striped_skunk,0,1
2080,2017,striped_skunk,0,1
2080,2020,striped_skunk,0,1
2080,2021,striped_skunk,0,2
2080,2022,striped_skunk,0,3
2080,2023,striped_skunk,1,6
2080,2024,striped_skunk,0,8
2080,2025,striped_skunk,0,3
2083,2017,striped_skunk,1,1
2083,2018,striped_skunk,0,1
2083,2023,striped_skunk,0,2
2084,2009,striped_skunk,0,1
2084,2017,striped_skunk,1,8
2084,2018,striped_skunk,2,28
2084,2019,striped_skunk,2,11
2084,2020,striped_skunk,0,4
2084,2021,striped_skunk,0,3
2084,2022,striped_skunk,0,7
2084,2023,striped_skunk,0,2
2084,2024,striped_skunk,0,6
2084,2025,striped_skunk,0,11
2088,2012,striped_skunk,0,1
2088,2015,striped_skunk,0,3
2088,2017,striped_skunk,0,3
2088,2018,striped_skunk,0,5
2088,2019,striped_skunk,0,7
2088,2020,striped_skunk,0,25
2088,2021,striped_skunk,0,17
2088,2022,striped_skunk,1,12
2088,2023,striped_skunk,2,37
2088,2024,striped_skunk,4,49
2088,2025,striped_skunk,0,17
2089,2011,striped_skunk,0,2
2089,2012,striped_skunk,0,1
2089,2015,striped_skunk,0,9
2089,2016,striped_skunk,0,1
2089,2017,striped_skunk,0,13
2089,2018,striped_skunk,0,25
2089,2019,striped_skunk,1,24
2089,2020,striped_skunk,0,59
2089,2021,striped_skunk,1,53
2089,2022,striped_skunk,0,31
2089,2023,striped_skunk,1,59
2089,2024,striped_skunk,4,156
2089,2025,striped_skunk,0,63
2091,2018,striped_skunk,0,1
2091,2021,striped_skunk,0,3
2091,2022,striped_skunk,0,1
2091,2023,striped_skunk,1,5
2091,2024,striped_skunk,0,1
2091,2025,striped_skunk,0,24
2093,2019,striped_skunk,0,2
2093,2020,striped_skunk,0,5
2093,2021,striped_skunk,0,4
2093,2022,striped_skunk,1,3
2093,2023,striped_skunk,0,5
2093,2024,striped_skunk,0,1
2093,2025,striped_skunk,0,5
2096,2017,striped_skunk,0,1
2096,2018,striped_skunk,0,4
2096,2019,striped_skunk,0,9
2096,2020,striped_skunk,0,5
2096,2021,striped_skunk,0,4
2096,2022,striped_skunk,0,18
2096,2023,striped_skunk,1,14
2096,2024,striped_skunk,0,17
2096,2025,striped_skunk,0,3
2098,2017,striped_skunk,1,2
2098,2018,striped_skunk,1,4
2098,2019,striped_skunk,0,6
2098,2020,striped_skunk,0,14
2098,2022,striped_skunk,0,10
2098,2023,striped_skunk,0,17
2098,2024,striped_skunk,2,10
2098,2025,striped_skunk,1,24
2099,2020,striped_skunk,0,2
2099,2021,striped_skunk,0,12
2099,2022,striped_skunk,1,13
2099,2023,striped_skunk,0,8
2099,2024,striped_skunk,1,9
2099,2025,striped_skunk,1,9
2100,2011,striped_skunk,0,1
2100,2015,striped_skunk,0,5
2100,2016,striped_skunk,0,7
2100,2017,striped_skunk,0,4
2100,2018,striped_skunk,0,2
2100,2019,striped_skunk,0,2
2100,2020,striped_skunk,0,3
2100,2021,striped_skunk,0,3
2100,2022,striped_skunk,0,7
2100,2023,striped_skunk,0,13
2100,2024,striped_skunk,1,11
2100,2025,striped_skunk,0,6
2102,2010,striped_skunk,0,1
2102,2016,striped_skunk,0,1
2102,2017,striped_skunk,0,5
2102,2018,striped_skunk,0,5
2102,2019,striped_skunk,0,27
2102,2020,striped_skunk,0,12
2102,2021,striped_skunk,0,15
2102,2022,striped_skunk,2,31
2102,2023,striped_skunk,0,8
2102,2024,striped_skunk,0,19
2102,2025,striped_skunk,0,34
2103,2009,striped_skunk,0,1
2103,2011,striped_skunk,0,3
2103,2012,striped_skunk,0,2
2103,2013,striped_skunk,1,15
2103,2014,striped_skunk,0,10
2103,2015,striped_skunk,3,12
2103,2016,striped_skunk,0,27
2103,2017,striped_skunk,1,21
2103,2018,striped_skunk,1,28
2103,2019,striped_skunk,0,45
2103,2020,striped_skunk,0,47
2103,2021,striped_skunk,0,112
2103,2022,striped_skunk,2,116
2103,2023,striped_skunk,1,70
2103,2024,striped_skunk,2,85
2103,2025,striped_skunk,2,100
2104,2014,striped_skunk,0,2
2104,2016,striped_skunk,0,1
2104,2017,striped_skunk,0,4
2104,2018,striped_skunk,0,1
2104,2019,striped_skunk,0,3
2104,2020,striped_skunk,0,6
2104,2021,striped_skunk,0,2
2104,2022,striped_skunk,0,10
2104,2023,striped_skunk,0,16
2104,2024,striped_skunk,0,23
2104,2025,striped_skunk,1,11
2105,2016,striped_skunk,0,1
2105,2017,striped_skunk,0,1
2105,2019,striped_skunk,1,1
2105,2021,striped_skunk,0,1
2105,2023,striped_skunk,0,3
2105,2024,striped_skunk,0,5
2105,2025,striped_skunk,0,3
2106,2016,striped_skunk,0,2
2106,2017,striped_skunk,0,2
2106,2018,striped_skunk,0,1
2106,2019,striped_skunk,0,4
2106,2020,striped_skunk,0,9
2106,2021,striped_skunk,1,8
2106,2022,striped_skunk,1,7
2106,2023,striped_skunk,1,5
2106,2024,striped_skunk,0,14
2106,2025,striped_skunk,1,32
2107,2016,striped_skunk,0,1
2107,2017,striped_skunk,0,2
2107,2018,striped_skunk,1,6
2107,2019,striped_skunk,0,3
2107,2020,striped_skunk,0,4
2107,2021,striped_skunk,2,3
2107,2022,striped_skunk,0,9
2107,2023,striped_skunk,0,2
2107,2024,striped_skunk,0,5
2107,2025,striped_skunk,1,8
2108,2008,striped_skunk,0,3
2108,2012,striped_skunk,0,1
2108,2014,striped_skunk,0,1
2108,2015,striped_skunk,0,3
2108,2016,striped_skunk,0,2
2108,2017,striped_skunk,0,10
2108,2018,striped_skunk,0,9
2108,2019,striped_skunk,0,25
2108,2020,striped_skunk,0,15
2108,2021,striped_skunk,0,10
2108,2022,striped_skunk,0,37
2108,2023,striped_skunk,0,32
2108,2024,striped_skunk,1,55
2108,2025,striped_skunk,0,53
2110,2010,striped_skunk,0,1
2110,2014,striped_skunk,0,1
2110,2015,striped_skunk,0,2
2110,2016,striped_skunk,0,6
