"camera_level","n_site_keep","inat_level","global_mult","ecoregion","n_reps","rmse","bias","coverage","mean_n_site_region","mean_cam_detections_region","mean_inat_count_region","convergence_filter"
"4x",2800,"0.25x",0.25,"NORTH AMERICAN DESERTS",30,0.156855780380064,-0.0910399400712407,1,350,157.333333333333,5.06666666666667,"all_reps"
"4x",2800,"0.25x",0.25,"NORTHERN FORESTS",30,0.133333919320167,-0.0473399418299173,1,350,49.7333333333333,8.96666666666667,"all_reps"
"4x",2800,"0.25x",0.25,"NORTHWESTERN FORESTED MOUNTAINS",30,0.338932846975865,-0.311052811991681,0.966666666666667,350,59.0666666666667,9.36666666666667,"all_reps"
"4x",2800,"0.25x",0.25,"WATER",30,0.253488882906268,-0.228268311318625,1,350,92.4,6.9,"all_reps"
"4x",2800,"1x",1,"EASTERN TEMPERATE FORESTS",30,0.230985786292119,0.214658562538865,0.833333333333333,350,58.0666666666667,17.6,"all_reps"
"4x",2800,"1x",1,"GREAT PLAINS",30,0.252467690173704,0.210705426724006,0.9,350,76.3666666666667,90.1,"all_reps"
"4x",2800,"1x",1,"MARINE WEST COAST FOREST",30,0.137692889213504,0.104374675621395,0.966666666666667,350,76.8,453.733333333333,"all_reps"
"4x",2800,"1x",1,"MEDITERRANEAN CALIFORNIA",30,0.0908144012693773,0.0380133781264826,1,350,282.233333333333,220.2,"all_reps"
"4x",2800,"1x",1,"NORTH AMERICAN DESERTS",30,0.13914413494677,-0.0952388045491816,1,350,159.633333333333,18.7666666666667,"all_reps"
"4x",2800,"1x",1,"NORTHERN FORESTS",30,0.146110370530194,-0.0983912667239513,0.966666666666667,350,50.9,35.4333333333333,"all_reps"
"4x",2800,"1x",1,"NORTHWESTERN FORESTED MOUNTAINS",30,0.21397577923146,-0.19870194676337,0.9,350,58.2,38.8333333333333,"all_reps"
"4x",2800,"1x",1,"WATER",30,0.252805208448846,-0.2366283012791,0.9,350,91.5666666666667,30.1333333333333,"all_reps"
"4x",2800,"4x",4,"EASTERN TEMPERATE FORESTS",30,1.31447985804699,0.455179537820482,0.8,350,58,74.2,"all_reps"
"4x",2800,"4x",4,"GREAT PLAINS",30,0.505273030374089,0.0932314195542885,0.866666666666667,350,75.9333333333333,358.7,"all_reps"
"4x",2800,"4x",4,"MARINE WEST COAST FOREST",30,1.21736453103917,0.288326079898055,0.933333333333333,350,82.6333333333333,1647.63333333333,"all_reps"
"4x",2800,"4x",4,"MEDITERRANEAN CALIFORNIA",30,0.936157844342051,-0.155450047237506,0.966666666666667,350,278.533333333333,931.766666666667,"all_reps"
"4x",2800,"4x",4,"NORTH AMERICAN DESERTS",30,1.19258364941071,0.156359166104903,1,350,160.5,78.5666666666667,"all_reps"
"4x",2800,"4x",4,"NORTHERN FORESTS",30,0.841353835398584,0.106439000854135,0.966666666666667,350,51.7,151.9,"all_reps"
"4x",2800,"4x",4,"NORTHWESTERN FORESTED MOUNTAINS",30,1.27156938290114,0.0479519721567267,0.933333333333333,350,61.4666666666667,159.066666666667,"all_reps"
"4x",2800,"4x",4,"WATER",30,0.333213938778909,-0.1755271264772,0.733333333333333,350,91.6333333333333,115.966666666667,"all_reps"
"4x",2800,"16x",16,"EASTERN TEMPERATE FORESTS",30,3.14118558093883,1.55358716130723,0.7,350,59.2333333333333,286.033333333333,"all_reps"
"4x",2800,"16x",16,"GREAT PLAINS",30,0.968988857835364,0.529061084853416,0.9,350,74.2333333333333,1398.1,"all_reps"
"4x",2800,"16x",16,"MARINE WEST COAST FOREST",30,1.42413055901946,0.688967813668384,0.966666666666667,350,79.0333333333333,7186.2,"all_reps"
"4x",2800,"16x",16,"MEDITERRANEAN CALIFORNIA",30,0.934610983488813,-0.379316653147632,1,350,278.8,3855.06666666667,"all_reps"
"4x",2800,"16x",16,"NORTH AMERICAN DESERTS",30,1.401289106559,0.557739549349829,1,350,158.766666666667,325.833333333333,"all_reps"
"4x",2800,"16x",16,"NORTHERN FORESTS",30,1.49157549495928,0.653273516005232,1,350,48.6666666666667,603.3,"all_reps"
"4x",2800,"16x",16,"NORTHWESTERN FORESTED MOUNTAINS",30,1.51098154781659,0.554109526483205,0.833333333333333,350,58.9666666666667,643.566666666667,"all_reps"
"4x",2800,"16x",16,"WATER",30,0.590718768801127,-0.298639140586535,0.9,350,95.4,500.366666666667,"all_reps"
"0.5x",350,"0.25x",0.25,"EASTERN TEMPERATE FORESTS",26,0.217156699574581,0.151041792369272,1,44,6.61538461538461,5.11538461538461,"sigma_region_mean_le_1_only"
"0.5x",350,"0.25x",0.25,"GREAT PLAINS",26,0.322053826201693,0.265475880707417,1,44,12.3461538461538,21.6923076923077,"sigma_region_mean_le_1_only"
"0.5x",350,"0.25x",0.25,"MARINE WEST COAST FOREST",26,0.284373319218847,0.0530035001038471,1,44,10.3461538461538,104.884615384615,"sigma_region_mean_le_1_only"
"0.5x",350,"0.25x",0.25,"MEDITERRANEAN CALIFORNIA",26,0.189163939166399,0.100492769948401,1,44,27.2692307692308,57.9230769230769,"sigma_region_mean_le_1_only"
"0.5x",350,"0.25x",0.25,"NORTH AMERICAN DESERTS",26,0.166346905548976,-0.0683280008182523,1,44,21.0384615384615,5.38461538461539,"sigma_region_mean_le_1_only"
"0.5x",350,"0.25x",0.25,"NORTHERN FORESTS",26,0.188418823310604,-0.0882374576463578,1,44,8.34615384615385,10.1538461538462,"sigma_region_mean_le_1_only"
"0.5x",350,"0.25x",0.25,"NORTHWESTERN FORESTED MOUNTAINS",26,0.380150013105379,-0.340870442939548,1,44,5.65384615384615,10.3076923076923,"sigma_region_mean_le_1_only"
"0.5x",350,"0.25x",0.25,"WATER",26,0.335228228750395,-0.276858418249545,1,44,11.8846153846154,6.96153846153846,"sigma_region_mean_le_1_only"
"0.5x",350,"1x",1,"EASTERN TEMPERATE FORESTS",29,0.253194284445436,0.190443386018306,0.896551724137931,44,5.72413793103448,17.5172413793103,"sigma_region_mean_le_1_only"
"0.5x",350,"1x",1,"GREAT PLAINS",29,0.285443031083771,0.234781373034769,1,44,11.2413793103448,93.5862068965517,"sigma_region_mean_le_1_only"
"0.5x",350,"1x",1,"MARINE WEST COAST FOREST",29,0.183212854495908,0.0585978660767617,1,44,9.24137931034483,426.344827586207,"sigma_region_mean_le_1_only"
"0.5x",350,"1x",1,"MEDITERRANEAN CALIFORNIA",29,0.206550558402104,0.0245553571838406,1,44,28.5172413793103,224.413793103448,"sigma_region_mean_le_1_only"
"0.5x",350,"1x",1,"NORTH AMERICAN DESERTS",29,0.114589470270374,-0.056582923547856,1,44,20.0689655172414,20.1034482758621,"sigma_region_mean_le_1_only"
"0.5x",350,"1x",1,"NORTHERN FORESTS",29,0.17636485676632,-0.0899896406899976,1,44,7.20689655172414,35.2413793103448,"sigma_region_mean_le_1_only"
"0.5x",350,"1x",1,"NORTHWESTERN FORESTED MOUNTAINS",29,0.267640422239653,-0.223718846859124,0.896551724137931,44,5.93103448275862,40.3103448275862,"sigma_region_mean_le_1_only"
"0.5x",350,"1x",1,"WATER",29,0.262149039213742,-0.201024469295787,0.931034482758621,44,10.3793103448276,29.0689655172414,"sigma_region_mean_le_1_only"
"0.5x",350,"4x",4,"EASTERN TEMPERATE FORESTS",30,0.285047770250542,0.249888501187867,0.833333333333333,44,6.56666666666667,73.2666666666667,"sigma_region_mean_le_1_only"
"0.5x",350,"4x",4,"GREAT PLAINS",30,0.207020112308824,0.157250729616725,1,44,12.9,338.666666666667,"sigma_region_mean_le_1_only"
"0.5x",350,"4x",4,"MARINE WEST COAST FOREST",30,0.153738684146099,0.0929168507531233,0.966666666666667,44,9.66666666666667,1789.4,"sigma_region_mean_le_1_only"
"0.5x",350,"4x",4,"MEDITERRANEAN CALIFORNIA",30,0.108195547463204,0.0337869490568259,1,44,29.0333333333333,930.766666666667,"sigma_region_mean_le_1_only"
"0.5x",350,"4x",4,"NORTH AMERICAN DESERTS",30,0.108234898722541,-0.0680103696081232,1,44,19.6333333333333,82.4666666666667,"sigma_region_mean_le_1_only"
"0.5x",350,"4x",4,"NORTHERN FORESTS",30,0.112293637823218,-0.0614403333345145,1,44,7.03333333333333,150.866666666667,"sigma_region_mean_le_1_only"
"0.5x",350,"4x",4,"NORTHWESTERN FORESTED MOUNTAINS",30,0.226573707056586,-0.204428511904838,1,44,7,166.7,"sigma_region_mean_le_1_only"
"0.5x",350,"4x",4,"WATER",30,0.268384569783863,-0.223184757196231,0.866666666666667,44,12.4,115.133333333333,"sigma_region_mean_le_1_only"
"0.5x",350,"16x",16,"EASTERN TEMPERATE FORESTS",30,0.291706652437735,0.231444764713118,0.8,44,6.56666666666667,296.133333333333,"sigma_region_mean_le_1_only"
"0.5x",350,"16x",16,"GREAT PLAINS",30,0.192187162326046,0.137685929159911,0.866666666666667,44,12.2666666666667,1462.83333333333,"sigma_region_mean_le_1_only"
"0.5x",350,"16x",16,"MARINE WEST COAST FOREST",30,0.131190575648843,0.0730158691198249,0.933333333333333,44,9.53333333333333,6616,"sigma_region_mean_le_1_only"
"0.5x",350,"16x",16,"MEDITERRANEAN CALIFORNIA",30,0.0853211003660663,0.0108128098235049,1,44,27.5333333333333,3769.53333333333,"sigma_region_mean_le_1_only"
"0.5x",350,"16x",16,"NORTH AMERICAN DESERTS",30,0.132864433193792,-0.0389344919589248,1,44,20.9333333333333,317,"sigma_region_mean_le_1_only"
"0.5x",350,"16x",16,"NORTHERN FORESTS",30,0.127312983596928,-0.0510714372431872,1,44,6.9,578.466666666667,"sigma_region_mean_le_1_only"
"0.5x",350,"16x",16,"NORTHWESTERN FORESTED MOUNTAINS",30,0.181826389019384,-0.136923816201981,0.9,44,6.93333333333333,635.9,"sigma_region_mean_le_1_only"
"0.5x",350,"16x",16,"WATER",30,0.381176687227626,-0.195832071191494,0.8,44,10.2,480.1,"sigma_region_mean_le_1_only"
"1x",700,"0.25x",0.25,"EASTERN TEMPERATE FORESTS",30,0.242858039884501,0.177047658650262,1,88,12.4666666666667,5.13333333333333,"sigma_region_mean_le_1_only"
"1x",700,"0.25x",0.25,"GREAT PLAINS",30,0.24471616898839,0.228048109814883,1,88,18.9,21.6,"sigma_region_mean_le_1_only"
"1x",700,"0.25x",0.25,"MARINE WEST COAST FOREST",30,0.187467085623401,0.119016537678887,0.966666666666667,88,19.9,107.933333333333,"sigma_region_mean_le_1_only"
"1x",700,"0.25x",0.25,"MEDITERRANEAN CALIFORNIA",30,0.179612310315477,0.0884899346418506,1,88,68.7333333333333,58.3333333333333,"sigma_region_mean_le_1_only"
"1x",700,"0.25x",0.25,"NORTH AMERICAN DESERTS",30,0.15057893419963,-0.033124207054856,1,88,47.0666666666667,5.76666666666667,"sigma_region_mean_le_1_only"
"1x",700,"0.25x",0.25,"NORTHERN FORESTS",30,0.158220376628433,-0.0740502450683194,1,88,15.7666666666667,9.56666666666667,"sigma_region_mean_le_1_only"
"1x",700,"0.25x",0.25,"NORTHWESTERN FORESTED MOUNTAINS",30,0.348444884105524,-0.305136727324633,0.933333333333333,88,15.6,10.1666666666667,"sigma_region_mean_le_1_only"
"1x",700,"0.25x",0.25,"WATER",30,0.283002141670518,-0.235765171778088,0.966666666666667,82,20.3666666666667,6.76666666666667,"sigma_region_mean_le_1_only"
"1x",700,"1x",1,"EASTERN TEMPERATE FORESTS",30,0.205785143021191,0.152942827658266,0.966666666666667,88,11.9,17.7666666666667,"sigma_region_mean_le_1_only"
"1x",700,"1x",1,"GREAT PLAINS",30,0.228987201380566,0.201036448558579,1,88,17.2333333333333,88.4666666666667,"sigma_region_mean_le_1_only"
"1x",700,"1x",1,"MARINE WEST COAST FOREST",30,0.111796705627757,0.0681769611073263,0.966666666666667,88,20.6,437.166666666667,"sigma_region_mean_le_1_only"
"1x",700,"1x",1,"MEDITERRANEAN CALIFORNIA",30,0.101650368629781,0.0547622649550362,1,88,68.4333333333333,238.333333333333,"sigma_region_mean_le_1_only"
"1x",700,"1x",1,"NORTH AMERICAN DESERTS",30,0.149920940973472,-0.080424212989582,1,88,48.2,22.1,"sigma_region_mean_le_1_only"
"1x",700,"1x",1,"NORTHERN FORESTS",30,0.138620659483186,-0.00278150639313669,1,88,14.9,37.3666666666667,"sigma_region_mean_le_1_only"
"1x",700,"1x",1,"NORTHWESTERN FORESTED MOUNTAINS",30,0.274757635205323,-0.246855087314647,0.9,88,16.0666666666667,40.3,"sigma_region_mean_le_1_only"
