cell50,x50,y50,lon,lat
1704,950000,1885000,-84.8281948838622,39.4834712357044
1709,1200000,1885000,-81.9266685926509,39.1880249982706
1713,1400000,1885000,-79.6240646723563,38.9033565164241
1715,1500000,1885000,-78.4798313641558,38.7450858745151
1717,1600000,1885000,-77.3407118594013,38.576280014479
1721,1800000,1885000,-75.0789669069861,38.2073591124008
1722,-2250000,1835000,-121.767305618949,36.7976580406147
1723,-2200000,1835000,-121.221485689894,36.9159439597686
1724,-2150000,1835000,-120.673960418997,37.0317509229458
1726,-2050000,1835000,-119.573895207319,37.2558714059741
1728,-1950000,1835000,-118.467343391705,37.4699214090511
1739,-1400000,1835000,-112.276747140961,38.4638379294876
1748,-950000,1835000,-107.103415161161,39.0404087947803
1782,750000,1835000,-87.2191140645132,39.2267642940414
1787,1000000,1835000,-84.3179144109538,38.9870549844925
1801,1700000,1835000,-76.3257932317844,37.9605034834342
1803,1800000,1835000,-75.2041078428094,37.7719562888343
1804,-2250000,1785000,-121.616679282374,36.3675412345058
1805,-2200000,1785000,-121.07374688984,36.485179099396
1807,-2100000,1785000,-119.982865042117,36.7130322533484
1809,-2000000,1785000,-118.885490295863,36.9309014804053
1812,-1850000,1785000,-117.22776724484,37.2388242975528
1823,-1300000,1785000,-111.043041648597,38.1701393081544
1825,-1200000,1785000,-109.902992550273,38.3054919610429
1831,-900000,1785000,-106.459830378089,38.6476826784603
1834,-750000,1785000,-104.727283343919,38.782559066598
1841,-400000,1785000,-100.663929805368,39.0024307383647
1850,50000,1785000,-95.4165477216834,39.0886511667388
1853,200000,1785000,-93.6666298490637,39.0681131308587
1856,350000,1785000,-91.9182913837145,39.022947928215
1880,1550000,1785000,-78.1265150739453,37.7857345594211
1881,1600000,1785000,-77.5640924476963,37.7010265194398
1885,-2250000,1735000,-121.467759594097,35.9371235247899
1890,-2000000,1735000,-118.751133410341,36.4974085954548
1891,-1950000,1735000,-118.203077754993,36.6019941734222
1900,-1500000,1735000,-113.206468225498,37.4290488971246
1902,-1400000,1735000,-112.081895167284,37.5845316491369
1903,-1350000,1735000,-111.517879517654,37.6583635494936
1909,-1050000,1735000,-108.111884516559,38.0461629566719
1910,-1000000,1735000,-107.540918612131,38.1015350484587
1913,-850000,1735000,-105.823154687203,38.2516502419397
1917,-650000,1735000,-103.522939603836,38.4142806716164
1934,200000,1735000,-93.6808628506176,38.6221536069106
1940,500000,1735000,-90.2081873343886,38.507949145914
1945,750000,1735000,-87.3256774602334,38.3383366605081
1959,1450000,1735000,-79.3552262310328,37.508089792426
1962,1600000,1735000,-77.673808314699,37.2631906353926
1964,1700000,1735000,-76.5592128356871,37.0870285012564
1966,-2250000,1685000,-121.320525502346,35.5063786403465
1967,-2200000,1685000,-120.783281173013,35.6227603797609
1971,-2000000,1685000,-118.618311837791,36.0636538270157
1974,-1850000,1685000,-116.978602747251,36.368181949218
1981,-1500000,1685000,-113.104354008504,36.9901044469127
1987,-1200000,1685000,-109.736699907027,37.4226797913744
1995,-800000,1685000,-105.193332156904,37.8523404605098
2034,1150000,1685000,-82.8282026125349,37.4856294498711
2040,1450000,1685000,-79.4541444350916,37.068692574917
2046,1750000,1685000,-76.1216866070457,36.5586067035782
2047,-2200000,1635000,-120.640501177217,35.1910631457404
2048,-2150000,1635000,-120.104458626096,35.3043936221958
2051,-2000000,1635000,-118.487005130265,35.6296197234874
2052,-1950000,1635000,-117.944842291612,35.7330752182068
2057,-1700000,1635000,-115.212757186242,36.2127975588864
2063,-1400000,1635000,-111.891613210595,36.7047082118895
2072,-950000,1635000,-106.838011820175,37.2678491717506
2101,500000,1635000,-90.2778492408208,37.6173884055055
2108,850000,1635000,-86.2944527135197,37.3641117336315
2117,1300000,1635000,-81.2246177272639,36.8480985416688
2127,1800000,1635000,-75.6902805655905,36.0284530525981
2130,-2100000,1585000,-119.431290193519,34.9820588606754
2139,-1650000,1585000,-114.553296690908,35.8632288728353
2143,-1450000,1585000,-112.351468295261,36.1893914688363
2144,-1400000,1585000,-111.798134444966,36.2645431143953
2158,-700000,1585000,-103.954019398967,37.0440224417933
2177,250000,1585000,-93.1534789220867,37.2721782322732
2196,1200000,1585000,-82.4256862681311,36.5393924555381
2201,1450000,1585000,-79.648531663632,36.1893894294665
2202,1500000,1585000,-79.0963147122629,36.1116740383318
2206,1700000,1585000,-76.8992896670794,35.7753329582041
2207,1750000,1585000,-76.3531586244761,35.6849180753757
2211,-2150000,1535000,-119.829247657229,34.4387714888648
2212,-2100000,1535000,-119.297259020941,34.5485046647455
2213,-2050000,1535000,-118.763777681398,34.6557933848417
2233,-1050000,1535000,-107.826300011206,36.2754177513427
2237,-850000,1535000,-105.59070676086,36.4761999486176
2238,-800000,1535000,-105.03004255509,36.5198589203398
2272,900000,1535000,-85.8492966330935,36.429922199284
2275,1050000,1535000,-84.1736997998781,36.2754152504823
2279,1250000,1535000,-81.9511829952983,36.0330372200622
2284,1500000,1535000,-79.1949111686915,35.6721432743519
2285,1550000,1535000,-78.6469172722698,35.5923078776292
2291,1850000,1535000,-75.3845320392248,35.0603157200063
2293,-2150000,1485000,-119.693935547313,34.0054073203159
2295,-2050000,1485000,-118.634038281697,34.2213308503812
2296,-2000000,1485000,-118.101911555934,34.3256297381982
2297,-1950000,1485000,-117.5683697919,34.4274758057376
2317,-950000,1485000,-106.647104236565,35.9373967488001
2318,-900000,1485000,-106.091048142614,35.986018886316
2319,-850000,1485000,-105.534298033721,36.0320396324202
2354,900000,1485000,-85.9089516278553,35.9860175112388
2358,1100000,1485000,-83.6892594496592,35.7759737946458
2360,1200000,1485000,-82.5843050756251,35.6554407230065
2363,1350000,1485000,-80.933783034234,35.4553838092915
2373,-2050000,1435000,-118.505742028753,33.7864955359964
2374,-2000000,1435000,-117.976409450099,33.8902698312888
2375,-1950000,1435000,-117.445685523191,33.9916019601256
2376,-1900000,1435000,-116.913597357918,34.0904826165812
2377,-1850000,1435000,-116.38017368938,34.1869032788928
2378,-1800000,1435000,-115.845442907512,34.2808573187975
2381,-1650000,1435000,-114.233696989054,34.5478403141468
2385,-1450000,1435000,-112.068226945178,34.8688157181312
2386,-1400000,1435000,-111.524123228454,34.9427627987649
2389,-1250000,1435000,-109.885775898221,35.1493796909951
2392,-1100000,1435000,-108.239074076688,35.3330373448718
2396,-900000,1435000,-106.032089018118,35.5419411166861
2397,-850000,1435000,-105.478547094062,35.5877099149066
2412,-100000,1435000,-97.1187886516638,35.9613642587101
2419,250000,1435000,-93.2037173248933,35.9337723516038
2422,400000,1435000,-91.5279612617575,35.8825557947505
2433,950000,1435000,-85.4150508505386,35.4935843207934
2436,1100000,1435000,-83.7609255444776,35.3330366966655
2437,1150000,1435000,-83.2111532608676,35.2743780300642
2438,1200000,1435000,-82.6622412041694,35.213156811881
2441,1350000,1435000,-81.0210049970387,35.0141699945639
2450,-2050000,1385000,-118.378863077995,33.3512682091478
2451,-2000000,1385000,-117.852298151916,33.4545303877315
2452,-1950000,1385000,-117.324365154702,33.5553584988056
2453,-1900000,1385000,-116.795088419421,33.6537452146128
2454,-1850000,1385000,-116.264499687735,33.7496808110027
2463,-1400000,1385000,-111.434867934494,34.5016640763694
2472,-950000,1385000,-106.523510191805,35.0495675549204
2509,900000,1385000,-86.0261881246298,35.097665583186
2524,1650000,1385000,-77.8704243880754,34.1087815990797
2527,-1950000,1335000,-117.204387117588,33.1187242954338
2528,-1900000,1335000,-116.677895785336,33.216626566473
2529,-1850000,1335000,-116.150112591075,33.3120883542981
2530,-1800000,1335000,-115.621061663344,33.4051033600795
2537,-1450000,1335000,-111.884736330093,33.9870926593503
2555,-550000,1335000,-102.0737104264,34.9161371509686
2577,550000,1335000,-89.926290515894,34.916136173099
2591,1250000,1335000,-82.2735494262174,34.2647409634662
2597,1550000,1335000,-79.0421471860311,33.8332211600364
2599,-1950000,1285000,-117.085730169618,32.6816807041755
2600,-1900000,1285000,-116.56199615377,32.7791084259241
2602,-1800000,1285000,-115.51073482617,32.9666663170515
2604,-1700000,1285000,-114.454614167313,33.1444506231974
2605,-1650000,1285000,-113.924800014156,33.2296586309986
2609,-1450000,1285000,-111.794540206084,33.5457635401588
2614,-1200000,1285000,-109.109255123049,33.8847936372035
2616,-1100000,1285000,-108.02896696265,34.0028034560688
2643,250000,1285000,-93.2522172947385,34.5940024605588
2659,1050000,1285000,-84.5123681056928,34.0580162572544
2661,1150000,1285000,-83.4304798496802,33.9450592045648
2672,-1750000,1235000,-114.87695070361,32.6175089002403
2679,-1400000,1235000,-111.173105715643,33.1765445671325
2687,-1000000,1235000,-106.883146069268,33.6661797288591
2696,-550000,1235000,-102.004034769387,34.023654866074
2697,-500000,1235000,-101.45947372339,34.050620845391
2700,-350000,1235000,-99.8237784237026,34.1161445734903
2709,100000,1235000,-94.9069536810111,34.1740021250479
2724,850000,1235000,-86.7381082081425,33.8082242829644
2729,1100000,1235000,-84.0394821446914,33.5588393317875
2736,1450000,1235000,-80.2946449642189,33.1040891842101
2746,-1350000,1185000,-110.557489501524,32.8037800725611
