cell50,n,x50,y50,in_range
465,0,450000,2635000,TRUE
466,1,500000,2635000,TRUE
467,5,550000,2635000,TRUE
468,20,600000,2635000,TRUE
469,9,650000,2635000,TRUE
470,3,700000,2635000,TRUE
471,0,750000,2635000,TRUE
472,0,800000,2635000,TRUE
473,2,850000,2635000,TRUE
474,5,900000,2635000,TRUE
475,33,950000,2635000,TRUE
476,11,1650000,2635000,TRUE
477,1,1700000,2635000,TRUE
478,1,1750000,2635000,TRUE
479,22,1800000,2635000,TRUE
480,72,1850000,2635000,TRUE
481,64,1900000,2635000,TRUE
482,147,1950000,2635000,TRUE
483,11,2000000,2635000,TRUE
484,2,2050000,2635000,TRUE
485,6,2100000,2635000,TRUE
486,0,2150000,2635000,FALSE
487,0,-2250000,2585000,FALSE
488,0,-2200000,2585000,FALSE
489,0,-2150000,2585000,FALSE
490,0,-2100000,2585000,FALSE
491,0,-2050000,2585000,FALSE
492,0,-2000000,2585000,FALSE
493,0,-1950000,2585000,FALSE
494,0,-1900000,2585000,FALSE
495,0,-1850000,2585000,FALSE
496,0,-1800000,2585000,FALSE
497,0,-1750000,2585000,FALSE
498,0,-1700000,2585000,FALSE
499,0,-1650000,2585000,TRUE
500,1,-1600000,2585000,TRUE
501,5,-1550000,2585000,TRUE
502,0,-1500000,2585000,TRUE
503,0,-1450000,2585000,TRUE
504,0,-1400000,2585000,TRUE
505,3,-1350000,2585000,TRUE
506,4,-1300000,2585000,TRUE
507,11,-1250000,2585000,TRUE
508,60,-1200000,2585000,TRUE
509,10,-1150000,2585000,FALSE
510,4,-1100000,2585000,FALSE
511,0,-1050000,2585000,FALSE
512,0,-1000000,2585000,FALSE
513,0,-950000,2585000,FALSE
514,0,-900000,2585000,FALSE
516,0,-800000,2585000,FALSE
517,0,-750000,2585000,FALSE
518,0,-700000,2585000,FALSE
519,0,-650000,2585000,FALSE
520,0,-600000,2585000,FALSE
521,0,-550000,2585000,FALSE
522,0,-500000,2585000,FALSE
523,0,-450000,2585000,FALSE
524,0,-400000,2585000,FALSE
525,0,-350000,2585000,FALSE
526,0,-300000,2585000,FALSE
527,0,-250000,2585000,FALSE
529,0,-150000,2585000,FALSE
530,0,-100000,2585000,FALSE
531,0,-50000,2585000,FALSE
532,0,0,2585000,FALSE
533,0,50000,2585000,FALSE
534,0,100000,2585000,FALSE
535,0,150000,2585000,FALSE
536,0,200000,2585000,FALSE
537,0,250000,2585000,TRUE
538,0,300000,2585000,TRUE
539,0,350000,2585000,TRUE
540,0,400000,2585000,TRUE
541,2,450000,2585000,TRUE
542,3,500000,2585000,TRUE
543,1,550000,2585000,TRUE
544,0,600000,2585000,TRUE
545,0,650000,2585000,TRUE
546,0,700000,2585000,TRUE
547,0,750000,2585000,TRUE
548,0,800000,2585000,TRUE
549,2,850000,2585000,TRUE
550,0,900000,2585000,TRUE
551,0,950000,2585000,TRUE
552,3,1600000,2585000,TRUE
553,0,1650000,2585000,TRUE
554,8,1700000,2585000,TRUE
555,8,1750000,2585000,TRUE
556,50,1800000,2585000,TRUE
557,101,1850000,2585000,TRUE
558,63,1900000,2585000,TRUE
559,71,1950000,2585000,TRUE
560,6,2000000,2585000,TRUE
561,2,2050000,2585000,TRUE
562,0,2100000,2585000,TRUE
563,0,-2300000,2535000,FALSE
564,0,-2250000,2535000,FALSE
565,0,-2200000,2535000,FALSE
566,0,-2150000,2535000,FALSE
567,0,-2100000,2535000,FALSE
568,0,-2050000,2535000,FALSE
569,0,-2000000,2535000,FALSE
570,0,-1950000,2535000,FALSE
571,0,-1900000,2535000,FALSE
572,0,-1850000,2535000,FALSE
573,0,-1800000,2535000,FALSE
574,0,-1750000,2535000,FALSE
