cell50,n,x50,y50,in_range
444,1,-600000,2635000,TRUE
445,1,-550000,2635000,TRUE
446,1,-500000,2635000,TRUE
447,0,-450000,2635000,TRUE
448,1,-400000,2635000,TRUE
449,25,-350000,2635000,TRUE
450,0,-300000,2635000,TRUE
451,2,-250000,2635000,TRUE
452,7,-200000,2635000,TRUE
453,6,-150000,2635000,TRUE
454,0,-100000,2635000,TRUE
455,105,-50000,2635000,TRUE
456,30,0,2635000,TRUE
457,2,50000,2635000,TRUE
458,10,100000,2635000,TRUE
459,39,150000,2635000,TRUE
460,244,200000,2635000,TRUE
461,38,250000,2635000,TRUE
462,241,300000,2635000,TRUE
463,14,350000,2635000,TRUE
464,37,400000,2635000,TRUE
465,25,450000,2635000,TRUE
466,12,500000,2635000,TRUE
467,6,550000,2635000,TRUE
468,13,600000,2635000,TRUE
469,279,650000,2635000,TRUE
470,25,700000,2635000,TRUE
471,32,750000,2635000,TRUE
472,8,800000,2635000,TRUE
473,5,850000,2635000,TRUE
474,148,900000,2635000,TRUE
475,284,950000,2635000,TRUE
476,85,1650000,2635000,TRUE
477,13,1700000,2635000,TRUE
478,26,1750000,2635000,TRUE
479,210,1800000,2635000,TRUE
480,91,1850000,2635000,TRUE
481,42,1900000,2635000,TRUE
482,12,1950000,2635000,TRUE
483,35,2000000,2635000,TRUE
484,72,2050000,2635000,TRUE
485,75,2100000,2635000,TRUE
486,5,2150000,2635000,FALSE
487,0,-2250000,2585000,TRUE
488,0,-2200000,2585000,TRUE
489,0,-2150000,2585000,TRUE
490,0,-2100000,2585000,TRUE
491,0,-2050000,2585000,TRUE
492,0,-2000000,2585000,TRUE
493,0,-1950000,2585000,TRUE
494,0,-1900000,2585000,TRUE
495,0,-1850000,2585000,TRUE
496,0,-1800000,2585000,TRUE
497,0,-1750000,2585000,TRUE
498,0,-1700000,2585000,TRUE
499,0,-1650000,2585000,TRUE
500,4,-1600000,2585000,TRUE
501,3,-1550000,2585000,TRUE
502,0,-1500000,2585000,TRUE
503,0,-1450000,2585000,TRUE
504,2,-1400000,2585000,TRUE
505,1,-1350000,2585000,TRUE
506,16,-1300000,2585000,TRUE
507,7,-1250000,2585000,TRUE
508,9,-1200000,2585000,TRUE
509,39,-1150000,2585000,TRUE
510,3,-1100000,2585000,TRUE
511,0,-1050000,2585000,TRUE
512,5,-1000000,2585000,TRUE
513,22,-950000,2585000,TRUE
514,0,-900000,2585000,TRUE
516,0,-800000,2585000,TRUE
517,0,-750000,2585000,TRUE
518,0,-700000,2585000,TRUE
519,0,-650000,2585000,TRUE
520,0,-600000,2585000,TRUE
521,3,-550000,2585000,TRUE
522,0,-500000,2585000,TRUE
523,0,-450000,2585000,TRUE
524,0,-400000,2585000,TRUE
525,0,-350000,2585000,TRUE
526,0,-300000,2585000,TRUE
527,0,-250000,2585000,TRUE
529,0,-150000,2585000,TRUE
530,0,-100000,2585000,TRUE
531,2,-50000,2585000,TRUE
532,12,0,2585000,TRUE
533,13,50000,2585000,TRUE
534,2,100000,2585000,TRUE
535,86,150000,2585000,TRUE
536,11,200000,2585000,TRUE
537,17,250000,2585000,TRUE
538,16,300000,2585000,TRUE
539,27,350000,2585000,TRUE
540,21,400000,2585000,TRUE
541,5,450000,2585000,TRUE
542,69,500000,2585000,TRUE
543,16,550000,2585000,TRUE
544,17,600000,2585000,TRUE
545,3,650000,2585000,TRUE
546,11,700000,2585000,TRUE
547,16,750000,2585000,TRUE
548,14,800000,2585000,TRUE
549,25,850000,2585000,TRUE
550,54,900000,2585000,TRUE
551,2,950000,2585000,TRUE
552,50,1600000,2585000,TRUE
553,47,1650000,2585000,TRUE
554,90,1700000,2585000,TRUE
555,99,1750000,2585000,TRUE
556,790,1800000,2585000,TRUE
557,433,1850000,2585000,TRUE
558,62,1900000,2585000,TRUE
559,42,1950000,2585000,TRUE
560,84,2000000,2585000,TRUE
561,212,2050000,2585000,TRUE
562,19,2100000,2585000,TRUE
563,0,-2300000,2535000,TRUE
564,0,-2250000,2535000,TRUE
565,0,-2200000,2535000,TRUE
566,0,-2150000,2535000,TRUE
567,0,-2100000,2535000,TRUE
568,0,-2050000,2535000,TRUE
569,0,-2000000,2535000,TRUE
570,0,-1950000,2535000,TRUE
571,0,-1900000,2535000,TRUE
572,0,-1850000,2535000,TRUE
573,0,-1800000,2535000,FALSE
574,0,-1750000,2535000,FALSE
575,0,-1700000,2535000,FALSE
576,0,-1650000,2535000,FALSE
577,6,-1600000,2535000,TRUE
578,0,-1550000,2535000,TRUE
579,0,-1500000,2535000,TRUE
580,7,-1450000,2535000,TRUE
581,1,-1400000,2535000,TRUE
582,3,-1350000,2535000,TRUE
583,6,-1300000,2535000,TRUE
584,1,-1250000,2535000,TRUE
585,1,-1200000,2535000,TRUE
586,19,-1150000,2535000,TRUE
587,1,-1100000,2535000,TRUE
588,43,-1050000,2535000,TRUE
589,0,-1000000,2535000,TRUE
590,0,-950000,2535000,TRUE
591,0,-900000,2535000,TRUE
592,1,-850000,2535000,TRUE
593,0,-800000,2535000,TRUE
594,0,-750000,2535000,TRUE
595,0,-700000,2535000,TRUE
596,0,-650000,2535000,TRUE
597,0,-600000,2535000,TRUE
598,0,-550000,2535000,TRUE
599,0,-500000,2535000,TRUE
600,0,-450000,2535000,TRUE
601,1,-400000,2535000,TRUE
602,0,-350000,2535000,TRUE
604,1,-250000,2535000,TRUE
605,2,-200000,2535000,TRUE
606,0,-150000,2535000,TRUE
607,4,-100000,2535000,TRUE
608,0,-50000,2535000,TRUE
609,2,0,2535000,TRUE
610,4,50000,2535000,TRUE
611,7,100000,2535000,TRUE
612,22,150000,2535000,TRUE
613,13,200000,2535000,TRUE
614,117,250000,2535000,TRUE
615,14,300000,2535000,TRUE
616,18,350000,2535000,TRUE
617,4,400000,2535000,TRUE
618,5,450000,2535000,TRUE
619,58,500000,2535000,TRUE
620,20,550000,2535000,TRUE
621,7,600000,2535000,TRUE
622,18,650000,2535000,TRUE
623,5,700000,2535000,TRUE
625,2,800000,2535000,TRUE
626,148,850000,2535000,TRUE
627,31,900000,2535000,TRUE
628,8,950000,2535000,TRUE
629,15,1000000,2535000,TRUE
630,456,1550000,2535000,TRUE
631,55,1600000,2535000,TRUE
