"model","chain","n_draws","n_chunks","param","rhat_all_chunks","rhat_resumed_only"
"moose_v1fix_ecoregion","2",50000,5,"year_region[7]",1.00640683130532,1.00987029685363
"moose_v1fix_ecoregion","2",50000,5,"year_region[8]",1.00647939621747,1.0091932367124
"moose_v1fix_ecoregion","2",50000,5,"year_var",1.05291044431602,1.05738026005019
"moose_v1fix_ecoregion","3",50000,5,"MCMT_tau",1.03121206797759,1.00092618245495
"moose_v1fix_ecoregion","3",50000,5,"MWMT_tau",1.03177902852032,1.0013383521894
"moose_v1fix_ecoregion","3",50000,5,"det_intercept",1.00999542532961,1.00314656594936
"moose_v1fix_ecoregion","3",50000,5,"intercept_tau",1.030983797385,1.00037148929584
"moose_v1fix_ecoregion","3",50000,5,"occ_beta[1]",1.03111519865698,1.00506182546651
"moose_v1fix_ecoregion","3",50000,5,"occ_beta[2]",1.04008672885639,1.05764534794092
"moose_v1fix_ecoregion","3",50000,5,"occ_beta[3]",1.06588124595881,1.03873037681627
"moose_v1fix_ecoregion","3",50000,5,"occ_beta[4]",1.06266484542529,1.05061264047207
"moose_v1fix_ecoregion","3",50000,5,"occ_beta[5]",1.06433274622998,1.09451530881081
"moose_v1fix_ecoregion","3",50000,5,"occ_beta[6]",1.0339477237358,1.04140606644562
"moose_v1fix_ecoregion","3",50000,5,"occ_beta[7]",1.00948996805255,1.00578985954193
"moose_v1fix_ecoregion","3",50000,5,"occ_beta[8]",1.26724406256553,1.09204461492496
"moose_v1fix_ecoregion","3",50000,5,"occ_beta[9]",1.10415265187012,1.05051752206046
"moose_v1fix_ecoregion","3",50000,5,"occ_beta[10]",1.27826742569719,1.09801276448252
"moose_v1fix_ecoregion","3",50000,5,"overdisp_inat",1.03156047123446,1.00027696747375
"moose_v1fix_ecoregion","3",50000,5,"p_beta[1]",1.00641723440326,1.00174990729031
"moose_v1fix_ecoregion","3",50000,5,"p_beta[2]",1.00458122660631,1.00415863391833
"moose_v1fix_ecoregion","3",50000,5,"p_beta[3]",1.00313501296566,1.00068117545943
"moose_v1fix_ecoregion","3",50000,5,"p_beta[4]",1.00559168274119,1.00321355297634
"moose_v1fix_ecoregion","3",50000,5,"sigma_region",1.02430467185883,1.03282758981299
"moose_v1fix_ecoregion","3",50000,5,"theta0",1.25498664530897,1.08721451169311
"moose_v1fix_ecoregion","3",50000,5,"theta1",1.16335028621616,1.08617994102807
"moose_v1fix_ecoregion","3",50000,5,"total_var_beta",1.03008062590275,1.03244107903158
"moose_v1fix_ecoregion","3",50000,5,"trend_robust_indicator",1.00167424265422,1.00181132459341
"moose_v1fix_ecoregion","3",50000,5,"year_beta",1.01681720239703,1.02248457110477
"moose_v1fix_ecoregion","3",50000,5,"year_region[1]",1.01778714831114,1.02533709581545
"moose_v1fix_ecoregion","3",50000,5,"year_region[2]",1.00714976284044,1.00721370764762
"moose_v1fix_ecoregion","3",50000,5,"year_region[3]",1.01307768261711,1.01578264686379
"moose_v1fix_ecoregion","3",50000,5,"year_region[4]",1.01269626732133,1.01943738774644
"moose_v1fix_ecoregion","3",50000,5,"year_region[5]",1.01212725042149,1.01919013585116
"moose_v1fix_ecoregion","3",50000,5,"year_region[6]",1.02187932242925,1.03199614747342
"moose_v1fix_ecoregion","3",50000,5,"year_region[7]",1.0236842040358,1.02070643373181
"moose_v1fix_ecoregion","3",50000,5,"year_region[8]",1.00880192500277,1.01341252503743
"moose_v1fix_ecoregion","3",50000,5,"year_var",1.00580965313842,1.0031795226849
"bobcat_v1fix_national_scalar","1",50000,5,"MCMT_tau",1.03226245791299,0.999993115361914
"bobcat_v1fix_national_scalar","1",50000,5,"MWMT_tau",1.03261574294876,1.00053658889902
"bobcat_v1fix_national_scalar","1",50000,5,"det_intercept",1.02520433106079,1.0085122026718
"bobcat_v1fix_national_scalar","1",50000,5,"intercept_tau",1.03272482785223,1.00062173258211
"bobcat_v1fix_national_scalar","1",50000,5,"occ_beta[1]",1.02044047367074,1.01479289556242
"bobcat_v1fix_national_scalar","1",50000,5,"occ_beta[2]",1.02838766821453,1.03170543580092
"bobcat_v1fix_national_scalar","1",50000,5,"occ_beta[3]",1.03026768577075,1.00709820547985
"bobcat_v1fix_national_scalar","1",50000,5,"occ_beta[4]",1.02851691148392,1.00779115963065
"bobcat_v1fix_national_scalar","1",50000,5,"occ_beta[5]",1.02971806229068,1.00830273841202
"bobcat_v1fix_national_scalar","1",50000,5,"occ_beta[6]",1.01450038085011,1.00843370878273
"bobcat_v1fix_national_scalar","1",50000,5,"occ_beta[7]",1.00470562461844,1.00185004338197
"bobcat_v1fix_national_scalar","1",50000,5,"occ_beta[8]",1.05204895437839,1.04189213600331
"bobcat_v1fix_national_scalar","1",50000,5,"occ_beta[9]",1.04097286734978,1.01875111940848
"bobcat_v1fix_national_scalar","1",50000,5,"occ_beta[10]",1.05937885136631,1.03855887139529
"bobcat_v1fix_national_scalar","1",50000,5,"overdisp_inat",1.04110506348673,1.00868772079981
"bobcat_v1fix_national_scalar","1",50000,5,"p_beta[1]",1.04950673180568,1.03714395777379
"bobcat_v1fix_national_scalar","1",50000,5,"p_beta[2]",1.07492744019243,1.06632357387496
"bobcat_v1fix_national_scalar","1",50000,5,"p_beta[3]",1.01393059734948,1.01435121029486
"bobcat_v1fix_national_scalar","1",50000,5,"p_beta[4]",1.01344619527732,1.0043651724239
"bobcat_v1fix_national_scalar","1",50000,5,"theta0",1.08385902962109,1.06949422473575
"bobcat_v1fix_national_scalar","1",50000,5,"theta1",1.1055962392193,1.09370215168802
"bobcat_v1fix_national_scalar","1",50000,5,"total_var_beta",1.19833678112731,1.19112979793733
"bobcat_v1fix_national_scalar","1",50000,5,"trend_robust_indicator",1.14631414472073,1.13286021165284
"bobcat_v1fix_national_scalar","1",50000,5,"year_beta",1.04389681926859,1.04160632210228
"bobcat_v1fix_national_scalar","1",50000,5,"year_var",1.19077398933565,1.1916410377968
"bobcat_v1fix_national_scalar","2",50000,5,"MCMT_tau",1.03253211727978,1.00032795586837
"bobcat_v1fix_national_scalar","2",50000,5,"MWMT_tau",1.0322251186439,1.00003818072834
"bobcat_v1fix_national_scalar","2",50000,5,"det_intercept",1.02712361496214,1.00747441695481
"bobcat_v1fix_national_scalar","2",50000,5,"intercept_tau",1.03216457053755,1.0000705357472
"bobcat_v1fix_national_scalar","2",50000,5,"occ_beta[1]",1.03895440920401,1.03859245050619
"bobcat_v1fix_national_scalar","2",50000,5,"occ_beta[2]",1.01497312472755,1.01505404927221
"bobcat_v1fix_national_scalar","2",50000,5,"occ_beta[3]",1.02777487671193,1.002482920083
"bobcat_v1fix_national_scalar","2",50000,5,"occ_beta[4]",1.0258165222488,1.00557380540704
"bobcat_v1fix_national_scalar","2",50000,5,"occ_beta[5]",1.02181218680698,1.00637831077848
"bobcat_v1fix_national_scalar","2",50000,5,"occ_beta[6]",1.01123725593742,1.00895370630065
"bobcat_v1fix_national_scalar","2",50000,5,"occ_beta[7]",1.0029887098232,1.00086166328904
"bobcat_v1fix_national_scalar","2",50000,5,"occ_beta[8]",1.09601757283314,1.09122166251169
"bobcat_v1fix_national_scalar","2",50000,5,"occ_beta[9]",1.06076462435435,1.04381645710557
"bobcat_v1fix_national_scalar","2",50000,5,"occ_beta[10]",1.09440600863907,1.07788416388964
"bobcat_v1fix_national_scalar","2",50000,5,"overdisp_inat",1.0348974089803,1.00226645477022
"bobcat_v1fix_national_scalar","2",50000,5,"p_beta[1]",1.07741052042524,1.06909908958565
"bobcat_v1fix_national_scalar","2",50000,5,"p_beta[2]",1.1115847599783,1.10807443147464
"bobcat_v1fix_national_scalar","2",50000,5,"p_beta[3]",1.00490106002513,1.00369665053524
"bobcat_v1fix_national_scalar","2",50000,5,"p_beta[4]",1.01182907146832,1.00208261356401
"bobcat_v1fix_national_scalar","2",50000,5,"theta0",1.12740214537613,1.12209760368695
"bobcat_v1fix_national_scalar","2",50000,5,"theta1",1.12766241736974,1.12317571201328
"bobcat_v1fix_national_scalar","2",50000,5,"total_var_beta",1.14008504037616,1.13632042242573
"bobcat_v1fix_national_scalar","2",50000,5,"trend_robust_indicator",1.29319106612416,1.29312659687101
"bobcat_v1fix_national_scalar","2",50000,5,"year_beta",1.00977698981164,1.00643606700085
"bobcat_v1fix_national_scalar","2",50000,5,"year_var",1.0934180599379,1.09813786143829
"bobcat_v1fix_national_scalar","3",50000,5,"MCMT_tau",1.03224770011606,1.00000287910965
"bobcat_v1fix_national_scalar","3",50000,5,"MWMT_tau",1.03243115452791,1.00035672683226
"bobcat_v1fix_national_scalar","3",50000,5,"det_intercept",1.03568652423278,1.0195108530749
"bobcat_v1fix_national_scalar","3",50000,5,"intercept_tau",1.03264522658086,1.00038915584866
"bobcat_v1fix_national_scalar","3",50000,5,"occ_beta[1]",1.08856653654903,1.08464170416356
"bobcat_v1fix_national_scalar","3",50000,5,"occ_beta[2]",1.02380468262888,1.02269335395457
"bobcat_v1fix_national_scalar","3",50000,5,"occ_beta[3]",1.05744495307535,1.036599462925
